protocol,chain,market,name,inputToken,timestamp,blockNumber,totalValueLockedUSD,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyBorrowUSD,exchangeRate,rewardToken_1,rewardToken_2,rewardTokenEmissionsUSD_1,rewardTokenEmissionsUSD_2
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641079553,13922498,1936753048.360080001707262327593812,134721.7768053487409811891560676632,14969.08631170541566457657289640706,149690.8631170541566457657289640706,134721.7768053487409811891560676632,1559419.292489137258883742027838503,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,53700.29498432867198197849837161192,26850.14749216433599098924918580596
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641164963,13928939,1931094719.33306467337494285563154,130880.6430969075712140970456079349,14542.29367743417457934411617865943,145422.9367743417457934411617865943,130880.6430969075712140970456079349,456760.6585309845309674380667236537,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,54563.83115228185847196719126671076,27281.91557614092923598359563335538
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641248911,13935219,1946645918.142993782614794592480462,129340.9098720909406707030940480481,14371.21220801010451896701044978312,143712.1220801010451896701044978312,129340.9098720909406707030940480481,3186704.034493827827476024116024827,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,55641.24210711571081297389548713459,27820.6210535578554064869477435673
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641340198,13942080,1929275840.072154671776230929457909,140459.3824435035276527061649278347,15606.59804927816973918957388087051,156065.9804927816973918957388087051,140459.3824435035276527061649278347,1194478.75017114370251231915371824,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,53324.71470422014066718343707447782,26662.35735211007033359171853723891
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641426883,13948558,1931884699.03179154084705200785939,133989.3577443808475298065704166136,14887.70641604231639220073004629038,148877.0641604231639220073004629038,133989.3577443808475298065704166136,1916584.06061117352895256323325228,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,47641.85725952669048986705334530114,23820.92862976334524493352667265057
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641508017,13954548,1912518244.025922916876420291061639,129518.0414867282723662784254484508,14390.89349852536359625315838316119,143908.9349852536359625315838316119,129518.0414867282723662784254484508,15213676.88419381731570418967665069,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,46161.09915454488540386723473318172,23080.54957727244270193361736659086
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641599132,13961329,1904398111.10177194419231048482383,138333.2609122819422707391297232916,15370.3623235868824745265699692546,153703.623235868824745265699692546,138333.2609122819422707391297232916,6252422.822958121431105295244815717,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,43946.81066432947244673528307556449,21973.40533216473622336764153778224
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641684180,13967755,1876450921.451722267324887628790217,127103.5597631757991010709354850023,14122.61775146397767789677060944473,141226.1775146397767789677060944473,127103.5597631757991010709354850023,1005787.843585001655421633071206902,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,44234.12296074362609359635675096365,22117.06148037181304679817837548183
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641771540,13974326,1875390871.541402581860476029981118,130007.8483435113376286230325905274,14445.31648261237084762478139894748,144453.1648261237084762478139894748,130007.8483435113376286230325905274,941748.6511156989943147679529098763,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,44310.74091062835628612638077160226,22155.37045531417814306319038580113
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1641857976,13980762,1902524325.302200568745348426287085,130468.4858890893492356618523709503,14496.4984321210388039624280412167,144964.984321210388039624280412167,130468.4858890893492356618523709503,29084854.1328685698394432832132265,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,41377.689083026376964635179906002,20688.844541513188482317589953001
